,Gene,Name,Parent Gene,Final_name
0,gene0,slr0612,slr0612,slr0612
1,gene1,slr0613,slr0613,slr0613
2,gene2,sll0558,sll0558,sll0558
3,gene3,sll1214,sll1214,sll1214
4,gene4,sll1213,sll1213,sll1213
6,gene5,,sll1212,sll1212
8,gene6,,slr1311,slr1311
10,gene7,,slr1312,slr1312
12,gene8,,sll1209,sll1209
13,gene9,slr1315,slr1315,slr1315
15,gene10,,slr1316,slr1316
17,gene11,,slr1317,slr1317
19,gene12,,slr1318,slr1318
21,gene13,,slr1319,slr1319
23,gene14,,sll1206,sll1206
25,gene15,,sll1205,sll1205
26,gene16,sll1204,sll1204,sll1204
27,gene17,sll1203,sll1203,sll1203
28,gene18,sll1202,sll1202,sll1202
30,gene19,,sll1409,sll1409
32,gene20,,sll1408,sll1408
33,gene21,sll1407,sll1407,sll1407
35,gene22,,sll1406,sll1406
36,gene23,sll1405,sll1405,sll1405
38,gene24,,sll1404,sll1404
39,gene25,slr1484,slr1484,slr1484
40,gene26,slr1485,slr1485,slr1485
41,gene27,slr1488,slr1488,slr1488
43,gene28,,slr1489,slr1489
45,gene29,,slr1490,slr1490
47,gene30,,slr1491,slr1491
49,gene31,,slr1492,slr1492
50,gene32,slr1493,slr1493,slr1493
51,gene33,slr1494,slr1494,slr1494
52,gene34,sll1401,sll1401,sll1401
53,gene35,sll1400,sll1400,sll1400
54,gene36,ssl2733,ssl2733,ssl2733
55,gene37,sll1399,sll1399,sll1399
57,gene38,,sll1398,sll1398
58,gene39,slr1495,slr1495,slr1495
59,gene40,sll1397,sll1397,sll1397
60,gene41,sll1396,sll1396,sll1396
62,gene42,,slr1498,slr1498
64,gene43,,sll1395,sll1395
66,gene44,,sll1394,sll1394
68,gene45,,sll1393,sll1393
69,gene46,sll1392,sll1392,sll1392
70,gene47,slr1501,slr1501,slr1501
71,gene48,slr1113,slr1113,slr1113
72,gene49,slr1114,slr1114,slr1114
73,gene50,slr1115,slr1115,slr1115
74,gene51,slr1116,slr1116,slr1116
75,gene52,slr1117,slr1117,slr1117
76,gene53,sll1064,sll1064,sll1064
78,gene54,,slr1118,slr1118
79,gene55,sll1063,sll1063,sll1063
80,gene56,slr1119,slr1119,slr1119
81,gene57,sll1062,sll1062,sll1062
82,gene58,sll1061,sll1061,sll1061
83,gene59,sll1060,sll1060,sll1060
84,gene60,ssl2069,ssl2069,ssl2069
85,gene61,ssr1853,ssr1853,ssr1853
87,gene62,,slr1120,slr1120
89,gene63,,sll1059,sll1059
91,gene64,,sll1058,sll1058
93,gene65,,sll1057,sll1057
95,gene66,,sll1056,sll1056
96,gene67,slr1122,slr1122,slr1122
97,gene68,sll1054,sll1054,sll1054
98,gene69,sll1053,sll1053,sll1053
100,gene70,,slr1123,slr1123
102,gene71,,slr1124,slr1124
104,gene72,,slr1125,slr1125
